symbol,entry_time,exit_time,entry_price,exit_price,size,pnl,confluence
EURUSD,2003-05-12T20:00:00+00:00,2003-05-13T02:00:00+00:00,1.15427,1.15150,4162.5989,11.53040,
EURUSD,2003-05-13T14:00:00+00:00,2003-05-13T15:00:00+00:00,1.15224,1.14916,24702.7400,76.08444,
EURUSD,2003-05-13T14:00:00+00:00,2003-05-13T15:00:00+00:00,1.15224,1.15224,8234.2467,0.00000,
EURUSD,2003-05-13T21:00:00+00:00,2003-05-14T01:00:00+00:00,1.15232,1.15054,57419.5300,-102.20676,
EURUSD,2003-05-13T15:00:00+00:00,2003-05-14T07:00:00+00:00,1.15141,1.14750,19604.8779,76.65507,
EURUSD,2003-05-14T04:00:00+00:00,2003-05-14T07:00:00+00:00,1.15109,1.14860,40636.4240,-101.18470,
EURUSD,2003-05-13T15:00:00+00:00,2003-05-14T08:00:00+00:00,1.15141,1.15001,6534.9593,9.14894,
EURUSD,2003-05-14T01:00:00+00:00,2003-05-14T08:00:00+00:00,1.15037,1.14695,22189.6263,75.88852,
EURUSD,2003-05-14T01:00:00+00:00,2003-05-14T08:00:00+00:00,1.15037,1.15037,7396.5421,0.00000,
EURUSD,2003-05-14T12:00:00+00:00,2003-05-14T13:00:00+00:00,1.14899,1.15047,51582.6559,76.34233,
EURUSD,2003-05-14T12:00:00+00:00,2003-05-14T13:00:00+00:00,1.14899,1.14899,17194.2186,0.00000,
EURUSD,2003-05-14T14:00:00+00:00,2003-05-14T17:00:00+00:00,1.14926,1.15142,35608.7491,76.91490,
EURUSD,2003-05-14T14:00:00+00:00,2003-05-14T18:00:00+00:00,1.14926,1.14933,11869.5830,0.83087,
EURUSD,2003-05-14T08:00:00+00:00,2003-05-14T23:00:00+00:00,1.15203,1.14667,18990.6295,-101.78977,
EURUSD,2003-05-12T15:00:00+00:00,2003-05-15T03:00:00+00:00,1.15417,1.14605,9601.4181,77.96351,
EURUSD,2003-05-13T00:00:00+00:00,2003-05-15T03:00:00+00:00,1.15134,1.14419,10766.0526,76.97728,
EURUSD,2003-05-13T05:00:00+00:00,2003-05-15T03:00:00+00:00,1.15359,1.14620,13727.4586,-101.44592,
EURUSD,2003-05-13T06:00:00+00:00,2003-05-15T03:00:00+00:00,1.15432,1.14620,12493.3398,-101.44592,
