time_utc,open,high,low,close
2004-05-07T00:00:00Z,1.20684,1.21313,1.18740,1.18782
2004-05-08T00:00:00Z,1.18887,1.18887,1.18887,1.18887
2004-05-09T00:00:00Z,1.18887,1.18936,1.18580,1.18602
2004-05-10T00:00:00Z,1.18619,1.18785,1.18103,1.18631
2004-05-11T00:00:00Z,1.18658,1.18885,1.17869,1.18752
2004-05-12T00:00:00Z,1.18752,1.19402,1.18322,1.19092
2004-05-13T00:00:00Z,1.19081,1.19294,1.17708,1.18015
2004-05-14T00:00:00Z,1.18023,1.19007,1.17806,1.18825
2004-05-15T00:00:00Z,1.18869,1.18869,1.18869,1.18869
2004-05-16T00:00:00Z,1.18869,1.18958,1.18758,1.18799
2004-05-17T00:00:00Z,1.18838,1.20580,1.18782,1.20364
2004-05-18T00:00:00Z,1.20349,1.20358,1.19272,1.19397
2004-05-19T00:00:00Z,1.19429,1.20409,1.19381,1.19997
2004-05-20T00:00:00Z,1.20001,1.20127,1.18942,1.19544
2004-05-21T00:00:00Z,1.19542,1.20679,1.19530,1.19801
2004-05-22T00:00:00Z,1.19761,1.19761,1.19761,1.19761
2004-05-23T00:00:00Z,1.19761,1.20021,1.19761,1.19897
2004-05-24T00:00:00Z,1.19899,1.20231,1.19324,1.19926
2004-05-25T00:00:00Z,1.19924,1.21263,1.19888,1.21077
2004-05-26T00:00:00Z,1.21082,1.21422,1.20814,1.20992
2004-05-27T00:00:00Z,1.21000,1.22884,1.20867,1.22695
2004-05-28T00:00:00Z,1.22714,1.22956,1.22002,1.22118
2004-05-29T00:00:00Z,1.22186,1.22186,1.22186,1.22186
2004-05-30T00:00:00Z,1.22186,1.22529,1.22186,1.22299
2004-05-31T00:00:00Z,1.22307,1.22362,1.21722,1.21765
2004-06-01T00:00:00Z,1.21772,1.22657,1.21543,1.22408
2004-06-02T00:00:00Z,1.22415,1.23030,1.22030,1.22117
2004-06-03T00:00:00Z,1.22137,1.22496,1.21680,1.22105
2004-06-04T00:00:00Z,1.22105,1.22997,1.21395,1.22817
2004-06-05T00:00:00Z,1.22816,1.22816,1.22816,1.22816
2004-06-06T00:00:00Z,1.22816,1.23339,1.22742,1.23253
2004-06-07T00:00:00Z,1.23269,1.23373,1.22992,1.23107
2004-06-08T00:00:00Z,1.23130,1.23500,1.22434,1.22654
2004-06-09T00:00:00Z,1.22666,1.22716,1.20225,1.20309
2004-06-10T00:00:00Z,1.20324,1.21179,1.20276,1.20868
2004-06-11T00:00:00Z,1.20855,1.20877,1.19624,1.20038
2004-06-12T00:00:00Z,1.20056,1.20056,1.20056,1.20056
2004-06-13T00:00:00Z,1.20056,1.20056,1.19600,1.19760
2004-06-14T00:00:00Z,1.19745,1.20872,1.19512,1.20621
2004-06-15T00:00:00Z,1.20632,1.21694,1.20254,1.21498
